시도,지점명,위도,경도,발생건수,사상자수,사망자수,중상자수,경상자수
광주광역시,광주광역시 동구 황금동(광산동892 인근),35.145214048395,126.917288444804,18,21,0,3,18
광주광역시,광주광역시 동구 금남로4가(금남로4가역앞교차로 인근),35.15018796211,126.91537963646,17,29,0,4,21
광주광역시,광주광역시 서구 치평동(치평동1229 인근),35.152892592224,126.854055903056,47,68,0,6,58
광주광역시,광주광역시 서구 광천동(광천사거리 인근),35.161331962505,126.883429229674,35,58,0,1,55
광주광역시,광주광역시 서구 치평동(신환빌딩 인근),35.150690556329,126.855603074221,35,52,1,1,47
광주광역시,광주광역시 남구 봉선동(백운교차로 인근),35.133366868092,126.901320730965,34,51,0,3,47
광주광역시,광주광역시 남구 봉선동(주월동12912 인근),35.133398671717,126.909976673283,22,32,0,1,30
광주광역시,광주광역시 남구 방림동(스타벅스광주방림DT점 인근),35.135018055744,126.916975137191,17,21,0,2,19
광주광역시,광주광역시 북구 운암동(운암사거리 인근),35.176823836056,126.879078854604,36,58,0,3,53
광주광역시,광주광역시 북구 용봉동(북구청 인근),35.174308086054,126.912713261706,30,38,1,4,33
광주광역시,광주광역시 북구 매곡동(한민교회 인근),35.187270837583,126.899563104952,27,36,0,5,31
광주광역시,광주광역시 광산구 신가동(수완동1818 인근),35.190341864989,126.829670792971,42,69,0,1,67
광주광역시,광주광역시 광산구 신가동(신창동1203 인근),35.190350239476,126.837895071499,34,54,1,4,46
광주광역시,광주광역시 광산구 운남동(유캔영어학원 인근),35.179470024626,126.817624418231,33,63,0,5,54
대전광역시,대전광역시 동구 용전동(동부네거리 인근),36.351600869263,127.441454324358,41,54,2,6,46
대전광역시,대전광역시 동구 중동(대전역네거리 인근),36.331186900934,127.432631355453,31,45,0,8,37
대전광역시,대전광역시 동구 소제동(동서교 인근),36.333410807442,127.438804418889,25,39,0,2,36
대전광역시,대전광역시 중구 문화동(서대전네거리 인근),36.322483244186,127.412403512612,27,52,0,4,47
대전광역시,대전광역시 중구 태평동(계룡육교 인근),36.33384349466,127.398603262031,23,34,0,2,32
대전광역시,대전광역시 중구 대흥동(으능정이네거리 인근),36.326496588426,127.427109231206,21,26,0,1,25
대전광역시,대전광역시 서구 둔산동(수협은행둔산지점 인근),36.349725057044,127.377346730567,83,104,0,13,87
대전광역시,대전광역시 서구 갈마동(갈마삼거리 인근),36.352438025673,127.369939917793,48,75,1,6,67
대전광역시,대전광역시 서구 괴정동(탄방네거리교차로 인근),36.341007772869,127.38853263847,43,60,0,8,52
대전광역시,대전광역시 유성구 봉명동(유성온천역5번출구 인근),36.354078963752,127.340464606256,44,59,1,8,47
대전광역시,대전광역시 유성구 장대동(구암역삼거리 인근),36.356521245438,127.33131323102,38,52,0,5,46
대전광역시,대전광역시 유성구 원내동(GS주유소원내동셀프 인근),36.299784556292,127.322602855437,29,40,0,5,35
대전광역시,대전광역시 대덕구 오정동(농수산시장오거리 인근),36.356736306614,127.405126856019,32,50,1,6,42
대전광역시,대전광역시 대덕구 오정동(오정네거리 인근),36.358493500953,127.414400527362,20,29,1,5,22
대전광역시,대전광역시 대덕구 비래동(산림조합중앙회대전사 인근),36.356169431552,127.444956356351,18,26,0,5,21
울산광역시,울산광역시 중구 반구동(병영오거리 인근),35.568539024249,129.343470513457,32,60,0,7,52
울산광역시,울산광역시 중구 서동(서동로터리 인근),35.57879680572,129.342177919678,20,34,0,4,27
울산광역시,울산광역시 중구 반구동(체육의다리교차로 인근),35.560503556587,129.345897888881,16,19,0,6,11
울산광역시,울산광역시 남구 신정동(공업탑로터리 인근),35.532175868116,129.307524951206,41,61,0,3,51
울산광역시,울산광역시 남구 신정동(태화로터리 인근),35.548753274637,129.308021920166,35,52,0,9,37
울산광역시,울산광역시 남구 달동(번영사거리 인근),35.537699076045,129.328932465359,34,49,0,7,40
울산광역시,울산광역시 동구 일산동(일산해수욕장사거리 인근),35.496901056232,129.427656889294,22,27,0,14,10
울산광역시,울산광역시 동구 일산동(번덕사거리 인근),35.500664492366,129.428635795945,13,14,1,3,10
울산광역시,울산광역시 동구 방어동(꽃나루공원앞교차로 인근),35.487555306026,129.420989576444,11,16,0,9,7
울산광역시,울산광역시 북구 송정동(송정동1114 인근),35.603036383014,129.354354941635,19,44,0,13,27
울산광역시,울산광역시 북구 호계동(시장2리사거리 인근),35.626071149355,129.352507452664,19,30,0,4,26
울산광역시,울산광역시 북구 효문동(효문사거리 인근),35.561563743065,129.361483764075,15,19,0,1,17
울산광역시,울산광역시 울주군 온산읍(덕신리53521 인근),35.429265476017,129.307603700341,13,19,0,9,6
울산광역시,울산광역시 울주군 삼남읍(장검마을교차로 인근),35.557655991824,129.254782954344,10,13,0,3,7
울산광역시,울산광역시 울주군 언양읍(제2남천교앞교차로 인근),35.562313306408,129.126872857242,7,11,0,4,1
세종특별자치시,세종특별자치시  다정동(한국주택금융공사세종 인근),36.491154909747,127.256452951642,23,27,0,4,16
세종특별자치시,세종특별자치시  소담동(소담교차로 인근),36.486292682837,127.30119257138,17,22,0,4,11
세종특별자치시,세종특별자치시  도담동(성금교차로 인근),36.508547956398,127.261535170711,15,21,0,2,9
경기도,경기도 수원시 팔달구 인계동(나혜석거리 인근),37.263711307189,127.032485906199,52,67,0,9,53
경기도,경기도 수원시 권선구 권선동(터미널사거리 인근),37.249889401833,127.018674167678,37,65,2,14,47
경기도,경기도 수원시 팔달구 인계동(인계사거리 인근),37.268361557598,127.0271936055,37,65,0,5,59
경기도,경기도 성남시 중원구 성남동(모란삼거리 인근),37.432842339257,127.12898394865,67,91,1,16,65
경기도,경기도 성남시 중원구 하대원동(모란시장사거리 인근),37.429996620802,127.129365730643,48,61,0,10,49
경기도,경기도 성남시 수정구 수진동(태평역사거리 인근),37.439748119934,127.127788106635,38,50,0,3,44
경기도,경기도 의정부시 의정부동(의정부역1번출구 인근),37.737593322122,127.042800832392,56,78,0,7,56
경기도,경기도 의정부시 의정부동(의정부역동부교차로 인근),37.738566682654,127.04776057459,31,46,0,6,36
경기도,경기도 의정부시 의정부동(헤드원호텔앞 인근),37.741153835229,127.047113908079,31,31,0,4,23
경기도,경기도 안양시 동안구 호계동(호계동1167 인근),37.380734276321,126.960511292261,26,31,0,3,25
경기도,경기도 안양시 동안구 호계동(호계사거리 인근),37.370294432498,126.957905979676,21,25,1,2,20
경기도,경기도 안양시 동안구 호계동(비산사거리 인근),37.398677838467,126.934495356075,21,27,0,5,21
경기도,경기도 부천시 내동(전화국사거리 인근),37.48676474575,126.776855855712,60,78,0,11,65
경기도,경기도 부천시 상동(부천시청역2번출구 인근),37.503819682385,126.762946667553,52,94,0,7,80
경기도,경기도 부천시 중동(송원일식 인근),37.502823746172,126.770803667454,43,55,0,6,46
경기도,경기도 광명시 광명동(광명사거리 인근),37.479379526597,126.854386386821,37,42,0,7,31
경기도,경기도 광명시 하안동(하안사거리 인근),37.461948793856,126.880236419674,28,33,0,7,25
경기도,경기도 광명시 철산동(철산역앞삼거리 인근),37.475532307823,126.866084980236,23,37,0,6,27
경기도,경기도 평택시 고덕면(여염리산571 인근),37.038949479598,127.0478359072,36,61,1,14,38
경기도,경기도 평택시 이충동(송탄문예회관앞교차로 인근),37.065472474238,127.063015617976,32,42,1,4,33
경기도,경기도 평택시 서정동(지장초교사거리 인근),37.067094745089,127.05875082419,28,37,0,6,28
경기도,경기도 동두천시 생연동(생골사거리 인근),37.899491808444,127.057626511553,11,13,1,1,11
경기도,경기도 동두천시 생연동(대방에이스빌앞 인근),37.899150205462,127.061115384666,8,9,0,0,8
경기도,경기도 동두천시 지행동(지행동4713 인근),37.888602115639,127.056759817811,8,11,0,2,9
경기도,경기도 안산시 상록구 성포동(한전사거리 인근),37.315180199464,126.845011960832,57,114,0,22,87
경기도,경기도 안산시 단원구 초지동(화정교 인근),37.317432119853,126.821067136338,38,68,0,16,49
경기도,경기도 안산시 단원구 원곡동(안산역지하차도 인근),37.328803026395,126.788035261517,35,64,0,11,50
경기도,경기도 고양시 일산동구 마두동(뉴코아백화점사거리 인근),37.655009370036,126.776006667272,47,69,1,8,59
경기도,경기도 고양시 일산동구 마두동(수협은행일산지점 인근),37.656612463744,126.773982761893,34,43,0,4,39
경기도,경기도 고양시 일산동구 백석동(8 인근),37.642610802796,126.788589413869,32,46,0,8,37
