연도,시도,시군구,사고건수,사망자수,부상자수,치사율,차대사람,차대차,차량단독,철길건널목,과속,중앙선 침범,신호위반,안전거리 미확보,안전운전 의무 불이행,보행자 보호의무 위반,교차로 통행방법 위반,기타
2021,경상북도,경상북도 영양군,63,3,99,4.76,11,45,7,0,0,7,4,4,36,1,0,11
2021,경상북도,경상북도 영주시,472,15,624,3.18,87,366,19,0,0,16,27,5,327,48,25,24
2021,경상북도,경상북도 영천시,740,12,1222,1.62,88,599,53,0,0,42,41,39,536,15,19,48
2021,경상북도,경상북도 예천군,180,4,238,2.22,29,129,22,0,0,15,14,3,114,9,3,22
2021,경상북도,경상북도 울릉군,11,2,10,18.18,5,3,3,0,0,0,1,0,10,0,0,0
2021,경상북도,경상북도 울진군,93,5,121,5.38,21,53,19,0,0,15,3,2,58,1,0,14
2021,경상북도,경상북도 의성군,209,14,303,6.7,24,162,23,0,0,13,13,2,148,1,4,28
2021,경상북도,경상북도 청도군,178,10,235,5.62,18,142,18,0,0,19,14,14,95,13,2,21
2021,경상북도,경상북도 청송군,74,9,90,12.16,19,46,9,0,0,17,2,3,36,1,1,14
2021,경상북도,경상북도 칠곡군,713,20,1116,2.81,91,567,55,0,0,29,40,50,462,32,18,82
2021,경상북도,경상북도 포항시,2532,29,3811,1.15,369,2085,78,0,0,125,249,222,1329,155,61,391
2021,광주광역시,광주광역시 광산구,2204,15,3439,0.68,289,1852,63,0,0,81,289,320,1041,182,49,242
2021,광주광역시,광주광역시 남구,754,8,1109,1.06,136,601,17,0,0,23,88,133,364,94,19,33
2021,광주광역시,광주광역시 동구,591,5,853,0.85,127,443,21,0,0,25,84,118,279,42,6,37
2021,광주광역시,광주광역시 북구,2165,15,3330,0.69,376,1729,60,0,0,83,228,254,1220,162,42,176
2021,광주광역시,광주광역시 서구,1829,6,2758,0.33,215,1581,33,0,0,58,187,269,997,109,49,160
2021,대구광역시,대구광역시 남구,765,3,1033,0.39,156,597,12,0,0,22,60,54,496,41,30,62
2021,대구광역시,대구광역시 달서구,2991,15,4094,0.5,550,2383,58,0,0,69,290,437,1506,265,118,306
2021,대구광역시,대구광역시 달성군,856,13,1248,1.52,113,708,35,0,0,27,78,54,573,26,27,71
2021,대구광역시,대구광역시 동구,1656,14,2435,0.85,259,1341,56,0,0,39,146,265,873,137,48,148
2021,대구광역시,대구광역시 북구,2100,16,2951,0.76,328,1707,65,0,0,61,180,321,1070,199,66,203
2021,대구광역시,대구광역시 서구,1008,8,1501,0.79,187,803,18,0,0,27,95,112,581,42,20,131
2021,대구광역시,대구광역시 수성구,2136,9,3062,0.42,366,1718,52,0,0,40,176,248,1334,104,82,152
2021,대구광역시,대구광역시 중구,621,6,906,0.97,157,455,9,0,0,14,63,106,334,25,20,59
2021,대전광역시,대전광역시 대덕구,862,6,1249,0.7,140,703,19,0,0,27,104,76,501,57,42,55
2021,대전광역시,대전광역시 동구,1046,10,1496,0.96,167,840,39,0,0,34,169,159,481,77,38,88
2021,대전광역시,대전광역시 서구,2162,13,3017,0.6,409,1715,38,0,0,68,303,176,1308,111,69,127
2021,대전광역시,대전광역시 유성구,1905,16,2905,0.84,205,1666,34,0,0,47,285,237,1074,105,59,98
2021,대전광역시,대전광역시 중구,1052,14,1508,1.33,200,810,42,0,0,41,160,134,554,52,35,76
2021,부산광역시,부산광역시 강서구,783,15,1188,1.92,57,700,26,0,0,24,153,76,474,10,13,33
2021,부산광역시,부산광역시 금정구,871,7,1251,0.8,228,628,15,0,0,31,68,95,429,88,53,107
2021,부산광역시,부산광역시 기장군,511,10,797,1.96,76,426,9,0,0,38,60,43,297,35,16,22
